Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type.1,Location Type,Restaurant Status
27,6,1,1,3,3,2020,1437,7904,15900,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6682,55105,644,8925,588,5270,74676,6,1,0
28,5,2,6,5,8,2019,3062,14175,23927,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6780,14384,2407,2265,641,3485,122992,5,2,0
29,6,1,1,3,3,2020,1437,7523,15519,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6886,6591,263,7002,207,81,74880,6,1,0
30,5,2,6,5,8,2019,3062,16619,26371,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6962,8333,4851,6585,3085,3821,123174,5,2,0
31,5,2,6,5,8,2019,3062,16888,26640,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7146,60422,5120,7154,3354,5798,123358,5,2,0
32,6,1,1,3,3,2020,1437,8188,16184,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7191,56825,928,8978,872,3484,75185,6,1,0
33,6,1,1,3,3,2020,1437,7791,15787,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7212,60849,531,6774,475,359,75206,6,1,0
34,6,1,1,3,3,2020,1437,11749,19745,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7349,28496,4489,7670,4433,1317,75343,6,1,0
35,5,2,6,5,8,2019,3062,13989,23741,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7409,59776,2221,5755,455,5108,123621,5,2,0
36,6,1,1,3,3,2020,1437,8395,16391,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7419,4782,1135,7842,1079,3956,75413,6,1,0
37,5,2,6,5,8,2019,3062,14827,24579,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7548,57057,3059,3785,1293,4443,123760,5,2,0
38,6,1,1,3,3,2020,1437,7940,15936,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7733,18122,680,9528,624,5316,75727,6,1,0
39,6,1,1,3,3,2020,1437,10863,18859,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7855,23734,3603,9848,3547,1931,75849,6,1,0
40,6,1,1,3,3,2020,1437,11531,19527,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7970,6118,4271,8224,4215,4848,75964,6,1,0
41,5,2,6,5,8,2019,3062,17911,27663,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8008,57606,6143,9565,4377,6172,124220,5,2,0
42,5,2,6,5,8,2019,3062,14005,23757,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8206,28456,2237,3484,471,3527,124418,5,2,0
43,6,1,1,3,3,2020,1437,8578,16574,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,8233,50637,1318,5432,1262,1975,76227,6,1,0
44,5,2,6,5,8,2019,3062,15512,25264,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8239,56389,3744,2375,1978,5043,124451,5,2,0
45,5,2,6,5,8,2019,3062,17556,27308,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8598,6611,5788,6371,4022,5454,124810,5,2,0
46,6,1,1,3,3,2020,1437,9360,17356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,8702,47085,2100,9261,2044,3991,76696,6,1,0
47,6,1,1,3,3,2020,1437,8753,16749,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,8854,36746,1493,10151,1437,5374,76848,6,1,0
48,5,2,6,5,8,2019,3062,15063,24815,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8909,42665,3295,4840,1529,3067,125121,5,2,0
49,5,2,6,5,8,2019,3062,17537,27289,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,8929,35778,5769,7933,4003,6814,125141,5,2,0
50,6,1,1,3,3,2020,1437,7482,15478,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,9068,18878,222,5097,166,4180,77062,6,1,0
51,5,2,6,5,8,2019,3062,14569,24321,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,9357,29390,2801,1443,1035,5651,125569,5,2,0
52,6,1,1,3,3,2020,1437,11089,19085,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,9434,44409,3829,7694,3773,5395,77428,6,1,0
53,5,2,6,5,8,2019,3062,17616,27368,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,9469,33465,5848,9454,4082,3004,125681,5,2,0
54,6,1,1,3,3,2020,1437,9755,17751,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,9529,55048,2495,9277,2439,2501,77523,6,1,0
55,5,2,6,5,8,2019,3062,13940,23692,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,9570,4380,2172,6187,406,3226,125782,5,2,0
56,6,1,1,3,3,2020,1437,9045,17041,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,9612,16851,1785,10550,1729,15,77606,6,1,0
57,6,1,1,3,3,2020,1437,7758,15754,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,9632,32598,498,9216,442,1462,77626,6,1,0
58,5,2,6,5,8,2019,3062,18676,28428,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,9866,53771,6908,8906,5142,8205,126078,5,2,0
59,6,1,1,3,3,2020,1437,8450,16446,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10030,51612,1190,9438,1134,9,78024,6,1,0
60,6,1,1,3,3,2020,1437,12920,20916,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10105,18819,5660,11486,5604,677,78099,6,1,0
61,5,2,6,5,8,2019,3062,18209,27961,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10145,60362,6441,5172,4675,7323,126357,5,2,0
62,5,2,6,5,8,2019,3062,17199,26951,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10295,43868,5431,8784,3665,6831,126507,5,2,0
63,6,1,1,3,3,2020,1437,10523,18519,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10858,50280,3263,7250,3207,586,78852,6,1,0
64,5,2,6,5,8,2019,3062,17735,27487,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10859,43098,5967,6925,4201,7941,127071,5,2,0
65,5,2,6,5,8,2019,3062,18078,27830,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10986,41117,6310,9860,4544,5104,127198,5,2,0
66,5,2,6,5,8,2019,3062,13994,23746,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,11203,45712,2226,6386,460,3425,127415,5,2,0
67,6,1,1,3,3,2020,1437,9293,17289,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,11256,54835,2033,8032,1977,1919,79250,6,1,0
68,6,1,1,3,3,2020,1437,7522,15518,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,11289,4437,262,8836,206,2377,79283,6,1,0
69,5,2,6,5,8,2019,3062,16373,26125,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,11663,2679,4605,6248,2839,3581,127875,5,2,0
70,5,2,6,5,8,2019,3062,14870,24622,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,11750,50661,3102,2045,1336,5403,127962,5,2,0
71,6,1,1,3,3,2020,1437,12097,20093,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,11762,5487,4837,11849,4781,1315,79756,6,1,0
72,6,1,1,3,3,2020,1437,10937,18933,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,11837,60272,3677,10728,3621,1868,79831,6,1,0
73,5,2,6,5,8,2019,3062,15835,25587,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,11855,31358,4067,3141,2301,3160,128067,5,2,0
74,5,2,6,5,8,2019,3062,18043,27795,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,11868,57810,6275,9002,4509,5371,128080,5,2,0
75,6,1,1,3,3,2020,1437,9449,17445,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,12088,25601,2189,6771,2133,2841,80082,6,1,0
76,5,2,6,5,8,2019,3062,17752,27504,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,12192,42416,5984,4480,4218,4243,128404,5,2,0
77,5,2,6,5,8,2019,3062,17384,27136,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,12272,6157,5616,6677,3850,3223,128484,5,2,0
78,6,1,1,3,3,2020,1437,11397,19393,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,12506,23100,4137,9571,4081,5059,80500,6,1,0
79,5,2,6,5,8,2019,3062,19248,29000,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,12640,27170,7480,7354,5714,3050,128852,5,2,0
80,6,1,1,3,3,2020,1437,8280,16276,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,12687,59004,1020,5555,964,522,80681,6,1,0
81,5,2,6,5,8,2019,3062,18021,27773,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,12730,31686,6253,9641,4487,7799,128942,5,2,0
82,6,1,1,3,3,2020,1437,8260,16256,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,12737,37658,1000,9428,944,723,80731,6,1,0
83,5,2,6,5,8,2019,3062,15957,25709,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,12820,2152,4189,4889,2423,4277,129032,5,2,0
84,6,1,1,3,3,2020,1437,10796,18792,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,12942,26571,3536,8049,3480,-11,80936,6,1,0
85,6,1,1,3,3,2020,1437,10859,18855,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,12977,5813,3599,7737,3543,4861,80971,6,1,0
86,6,1,1,3,3,2020,1437,7605,15601,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13014,21795,345,5125,289,2799,81008,6,1,0
87,5,2,6,5,8,2019,3062,14668,24420,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13057,6005,2900,6607,1134,6341,129269,5,2,0
88,5,2,6,5,8,2019,3062,15103,24855,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13080,39505,3335,2810,1569,3593,129292,5,2,0
89,6,1,1,3,3,2020,1437,9683,17679,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13115,43636,2423,5699,2367,494,81109,6,1,0
90,6,1,1,3,3,2020,1437,8897,16893,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13218,45702,1637,6222,1581,3717,81212,6,1,0
91,6,1,1,3,3,2020,1437,9922,17918,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13269,56824,2662,9869,2606,502,81263,6,1,0
92,6,1,1,3,3,2020,1437,12354,20350,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13312,51865,5094,12749,5038,69,81306,6,1,0
93,5,2,6,5,8,2019,3062,16620,26372,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13503,58008,4852,5291,3086,6211,129715,5,2,0
94,5,2,6,5,8,2019,3062,15938,25690,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13582,14265,4170,4520,2404,5038,129794,5,2,0
95,6,1,1,3,3,2020,1437,11025,19021,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13834,17310,3765,11192,3709,1578,81828,6,1,0
96,6,1,1,3,3,2020,1437,10086,18082,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14121,59375,2826,10529,2770,4954,82115,6,1,0
97,6,1,1,3,3,2020,1437,12861,20857,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14247,19195,5601,9859,5545,5062,82241,6,1,0
98,6,1,1,3,3,2020,1437,10541,18537,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14429,18093,3281,6767,3225,1906,82423,6,1,0
99,6,1,1,3,3,2020,1437,8760,16756,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14580,17025,1500,4790,1444,5417,82574,6,1,0
100,6,1,1,3,3,2020,1437,10636,18632,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14633,19377,3376,9400,3320,3530,82627,6,1,0
101,2,2,5,4,11,2020,2490,18617,26011,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,20518,33044,783644,512713,5039,4297,80387,2,2,1
102,2,2,5,4,11,2020,2490,17495,24889,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,20660,59848,782522,509380,3917,5125,80529,2,2,1
103,2,2,5,4,11,2020,2490,16529,23923,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,20692,68498,781556,510379,2951,5467,80561,2,2,1
104,2,2,5,4,11,2020,2490,15407,22801,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,20760,71242,780434,509871,1829,6339,80629,2,2,1
105,2,2,5,4,11,2020,2490,14485,21879,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,20793,60893,779512,505559,907,3766,80662,2,2,1
106,2,2,5,4,11,2020,2490,15953,23347,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21033,27801,780980,509977,2375,2033,80902,2,2,1
107,2,2,5,4,11,2020,2490,16139,23533,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21066,52766,781166,511532,2561,5034,80935,2,2,1
108,2,2,5,4,11,2020,2490,17605,24999,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21157,63431,782632,509905,4027,5383,81026,2,2,1
109,2,2,5,4,11,2020,2490,16313,23707,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21335,69253,781340,511986,2735,6230,81204,2,2,1
110,2,2,5,4,11,2020,2490,15735,23129,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21412,43158,780762,507171,2157,2985,81281,2,2,1
111,2,2,5,4,11,2020,2490,15919,23313,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21603,68350,780946,508038,2341,5254,81472,2,2,1
112,2,2,5,4,11,2020,2490,16929,24323,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21817,80069,781956,513772,3351,4162,81686,2,2,1
113,2,2,5,4,11,2020,2490,16801,24195,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,21823,56738,781828,511840,3223,1276,81692,2,2,1
114,2,2,5,4,11,2020,2490,19077,26471,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,22142,66743,784104,511264,5499,3037,82011,2,2,1
115,2,2,5,4,11,2020,2490,16975,24369,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,22321,66672,782002,511568,3397,2157,82190,2,2,1
116,2,2,5,4,11,2020,2490,16595,23989,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,22916,74687,781622,510851,3017,1297,82785,2,2,1
117,2,2,5,4,11,2020,2490,17026,24420,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,23237,44272,782053,509577,3448,2808,83106,2,2,1
118,2,2,5,4,11,2020,2490,16371,23765,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,23278,73629,781398,509443,2793,5936,83147,2,2,1
119,2,2,5,4,11,2020,2490,18061,25455,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,23314,37537,783088,514785,4483,5827,83183,2,2,1
120,2,2,5,4,11,2020,2490,15127,22521,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,23966,55129,780154,508919,1549,3298,83835,2,2,1
121,2,2,5,4,11,2020,2490,16123,23517,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,24169,48027,781150,508226,2545,1226,84038,2,2,1
