Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type
1,4,17,13,2,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2672591.906,1771849.205,285429.7129,615312.988,58197.26734,0,3403,21925,1,1
1,4,18,7,10,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,4939253.122,3687783.796,751873.455,499595.8714,138609.7087,1,1776,22039,1,1
1,1,2,20,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,4938623.51,3691150.13,751392.5791,496080.8004,138095.7472,1,3491,22224,1,1
1,1,1,4,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,4930107.834,3680781.582,752518.5765,496807.6755,139299.224,1,4518,22485,1,1
1,1,1,15,8,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3005173.986,2051544.431,301786.9121,651842.643,74929.71824,1,697,22494,1,3
1,2,6,17,5,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2954096.722,2031042.149,286635.1009,636419.4723,59430.27468,1,5135,22526,1,1
1,2,7,13,6,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4929047.642,3682050.245,749997.7964,496999.5998,136605.0107,1,1409,22623,1,1
1,1,1,10,10,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,4934226.919,3682973.316,752105.1139,499148.4887,138857.3083,1,2145,22940,1,2
1,2,5,29,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4930042.816,3681105.941,750797.2183,498139.6563,137459.4243,1,5414,23130,1,2
1,2,9,20,4,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2982768.574,2019961.349,309923.3469,652883.8786,78109.29793,0,2890,23223,1,1
1,1,4,22,7,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3307299.319,2376381.447,288198.9539,642718.9175,56465.77149,1,646,23326,1,2
1,1,2,22,5,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2843659.269,1899765.802,289695.9056,654197.5618,57957.1502,1,4556,23381,1,3
1,1,1,7,10,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3112006.226,2174315.642,291202.9403,646487.6435,59458.57445,1,3263,23385,1,2
1,3,12,22,6,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2999714.365,2034517.335,293353.0395,671843.9904,61600.6694,0,3325,23782,1,2
1,3,11,25,11,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6469751.606,5169834.231,786963.5424,512953.8328,140276.2301,0,429,23952,1,1
1,1,3,25,11,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6435014.645,5133821.898,788629.8862,512562.8608,141926.7114,0,551,24422,1,2
1,3,11,6,1,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3181037.822,2170953.113,334490.4688,675594.2401,102585.0014,0,3685,24654,1,2
1,4,16,6,4,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2898987.302,1911801.196,322296.1672,664889.9397,90436.07295,0,1499,25862,1,2
1,2,10,17,1,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6479417.42,5180350.154,786048.9428,513018.3233,139370.3366,0,5576,25958,1,2
1,1,1,18,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3069105.353,2156397.924,285677.3245,627030.1044,53953.53019,0,326,26094,1,3
1,2,6,17,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6449276.35,5145079.582,788410.3353,515786.4321,141709.2504,0,614,26142,1,3
1,4,15,19,11,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3326745.616,2347028.047,313089.1885,666628.3804,81263.35701,0,5407,26213,1,2
1,1,4,10,9,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3300491.976,2363700.509,289404.5498,647386.9168,57666.87905,0,1096,26767,1,2
1,2,6,19,10,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6446733.875,5145176.27,787651.5239,513906.0808,140957.6625,0,1834,27096,1,2
1,4,18,1,10,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6466203.004,5170068.535,784157.0546,511977.4145,137496.4587,0,1931,27184,1,2
1,1,1,24,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2921370.507,1993211.529,290127.9185,638031.0588,58387.55476,0,4277,27310,1,2
1,2,5,26,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6455544.675,5154802.335,786380.7874,514361.5523,139699.0222,0,1419,27573,1,1
1,1,1,14,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6459005.779,5162518.872,785853.6811,510633.225,139176.934,0,582,27817,1,2
1,1,1,19,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6437288.873,5138796.822,787087.9857,511404.0651,140399.4887,0,5210,27948,1,2
1,1,1,25,5,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3302220.592,2321827.47,306345.4421,674047.6795,75203.34684,0,2490,28200,1,2
1,1,3,4,2,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3243300.746,2295016.039,290739.9432,657544.7636,59602.10249,0,3891,28533,1,2
1,3,13,10,6,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2823148.972,1876708.833,306989.1686,639450.9709,77926.99643,0,372,28794,1,2
1,2,6,22,8,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3088581.148,2173201.578,285666.8606,629712.7093,56370.70227,0,3424,148227,1,1
1,1,2,5,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2701981.926,1774135.866,287137.0807,640708.9791,57856.97814,0,3429,148270,1,2
1,2,5,13,11,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2928477.027,2006535.891,288617.0584,633324.0778,59353.12965,0,2184,148987,1,1
1,2,7,10,1,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2837367.536,1889043.446,290728.3019,657595.7886,61487.46644,0,4865,149598,1,2
1,2,10,27,11,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5323416.304,4051434.263,767217.2331,504764.8071,139684.7189,0,2734,149600,1,2
1,1,1,21,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5305846.043,4032662.424,768797.0173,504386.6018,141321.1029,0,674,149674,1,2
1,1,3,20,10,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2995977.285,2003730.668,331064.8419,661181.7758,102269.8034,0,3715,149742,1,2
1,4,17,10,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3145606.917,2196449.371,293736.9295,655420.6163,64529.04378,0,4668,149889,1,3
1,2,10,26,8,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2754527.305,1784464.234,319119.3688,650943.7019,90191.39889,0,1293,149894,1,2
1,3,12,15,7,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5328064.703,4056887.455,766350.0583,504827.1898,138786.4915,0,3848,150015,1,2
1,3,14,3,12,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2889434.228,1991576.014,283189.9352,614668.2796,53866.75357,0,2843,150029,1,2
1,2,5,11,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5314640.158,4038546.678,768588.8823,507504.5985,141105.5089,0,2711,150040,1,2
1,1,3,5,11,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3111926.412,2149225.564,310093.8737,652606.9741,81065.97508,0,3490,150062,1,2
1,4,18,28,1,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3083890.197,2162853.601,286850.939,634185.6579,57567.71064,0,964,150130,1,2
1,1,4,6,7,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5312152.657,4038597.241,767869.4996,505685.9158,140360.3514,0,3433,150301,1,2
1,2,8,19,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5319932.242,4051555.908,764556.0793,503820.2542,136928.3105,0,3683,150333,1,2
1,3,12,11,6,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2766772.433,1853991.883,287561.3522,625219.198,58285.88505,0,1135,150484,1,3
1,1,1,20,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5316408.007,4043616.832,766664.7047,506126.471,139112.4015,0,814,150495,1,2
1,1,1,10,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5316317.831,4047633.09,766164.9147,502519.8268,138594.719,0,1222,150502,1,2
1,1,2,5,10,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5305865.436,4035264.632,767335.2195,503265.5846,139806.9305,0,1665,150678,1,2
1,1,1,4,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3128797.072,2161667.22,304169.869,662959.983,75076.61883,0,5300,150805,1,2
1,2,5,20,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3074776.622,2138974.895,288784.7825,647016.9443,59522.6872,0,4402,150963,1,2
1,2,5,4,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5304955.539,4036777.7,764715.3395,503462.4997,137093.2679,0,1935,151319,1,2
1,2,8,28,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5310451.505,4037878.628,766905.4799,505667.3968,139361.7986,0,550,71342,1,1
1,4,15,15,7,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5305829.863,4035651.47,765546.1534,504632.2402,137953.8083,0,2777,151665,1,2
1,2,5,5,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3103192.905,2126719.611,312436.5291,664036.7647,78268.93026,0,725,151781,1,1
1,1,1,2,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3468037.694,2524138.317,290372.1563,653527.2207,56549.19451,0,5203,152824,1,2
1,1,2,23,10,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2951484.118,1994197.001,291891.7425,665395.3749,58045.03817,0,2360,152929,1,2
1,2,6,24,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3248857.788,2298013.033,293421.6827,657423.0725,59551.07502,0,2877,153166,1,1
1,2,9,26,8,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3122078.471,2142819.75,295604.667,683654.054,61699.95499,0,878,153251,1,1
1,2,8,1,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7192148.358,5869142.402,803167.6307,519838.3255,140791.0834,0,3247,154058,1,1
1,2,7,3,2,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7147760.939,5823421.407,804902.6687,519436.8627,142453.7515,0,2687,154059,1,3
1,1,1,26,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3319222.608,2294268.215,337417.8739,687536.5197,102860.3502,0,3307,154182,1,1
1,4,16,22,11,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3536283.733,2556267.325,298716.4781,681299.9297,64763.15453,0,4976,154402,1,1
1,2,8,2,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3008903.466,2007432.664,325014.0183,676456.7839,90650.06556,0,500,154576,1,2
1,2,7,22,6,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7204626.072,5882506.138,802215.3875,519904.5467,139878.5617,0,5240,155017,1,2
1,1,3,7,8,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3203194.877,2278065.028,287812.6639,637317.185,54029.69513,0,693,155407,1,2
1,1,1,30,6,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7165128.026,5837706.799,804674.0586,522747.1685,142234.6766,0,2974,155891,1,1
1,1,1,27,5,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3485066.997,2491157.231,315653.9766,678255.7897,81436.14156,0,957,156020,1,2
1,1,1,10,9,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3459833.411,2509884.649,291595.9723,658352.7896,57753.88883,0,1490,156172,1,2
1,2,8,28,7,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7162529.624,5837829.51,803883.9563,520816.1577,141477.53,0,2763,156399,1,2
1,1,1,2,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7188521.585,5869440.089,800245.7739,518835.7217,137991.109,0,1434,156539,1,3
1,2,10,29,7,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3038173.542,2097160.963,292330.3094,648682.27,58476.75293,0,2371,156968,1,1
1,1,4,19,7,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7173894.526,5850049.758,802560.8847,521283.8834,140209.6472,0,3891,157230,1,2
1,2,5,18,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7179317.059,5859849.397,802012.0953,517455.5671,139683.7495,0,720,157233,1,3
1,1,2,24,2,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7151277.723,5829733.504,803297.1986,518247.0203,140915.2472,0,1609,157384,1,2
1,2,6,6,10,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3302220.592,2321827.47,306345.4421,674047.6795,75203.34684,0,1496,157538,1,2
1,2,10,3,10,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3243300.746,2295016.039,290739.9432,657544.7636,59602.10249,0,949,157812,1,2
1,2,6,20,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2884492.983,1930384.95,308425.4297,645682.6031,78019.54362,0,3112,157813,1,2
1,1,2,21,10,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3167844.037,2245177.519,286910.5359,635755.9824,56419.13002,0,5066,157855,1,3
1,1,2,6,8,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2757463.658,1822104.913,288393.5905,646965.1549,57907.99324,0,5389,73298,1,2
1,2,5,6,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2997218.725,2067895.305,289886.5543,639436.8657,59406.81733,0,6025,73355,1,2
1,3,12,29,7,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2899629.983,1943427.453,292016.4385,664186.0916,61545.08475,0,6381,73455,1,1
1,3,12,13,3,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5586422.468,4301586.793,776187.8854,508647.7896,139982.0807,0,5308,73726,1,2
1,2,10,5,3,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5566570.646,4280502.228,777804.6504,508263.7679,141625.4726,0,6210,73993,1,1
1,2,7,14,6,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3065497.996,2064918.631,332735.2147,667844.1506,102429.2011,0,1943,74020,1,2
1,4,16,24,5,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3226992.728,2269973.471,295051.8649,661967.3925,64592.50345,0,6254,74075,1,2
1,1,1,31,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2811066.145,1832993.423,320671.3757,657401.3467,90315.36916,0,3963,74097,1,2
1,1,4,12,4,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5591725.43,4307713.855,775300.4429,508711.1322,139080.0413,0,6822,74218,1,2
