Unknown,Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type,
11,12,1,2,5,16,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2783592.384,1897381.683,281122.1498,605088.5508,53791.0467,0,2616,20902,1,1,
12,13,1,1,1,27,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4938196.954,3683533.407,753724.7053,500938.8418,140588.3618,1,421,21149,1,2,
13,14,1,1,4,5,6,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2989752.523,2040305.987,307617.9419,641828.5942,80894.75445,1,4222,21152,1,3,
14,15,1,1,2,13,4,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2961343.337,2052615.764,284729.7418,623997.832,57481.26007,1,4240,21265,1,2,
15,16,1,2,6,1,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4935774.929,3683575.784,753032.6084,499166.5361,139848.632,1,4709,21689,1,1,
16,17,1,1,1,4,6,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,4941630.481,3694437.649,749844.5495,497348.2824,136441.2234,1,3032,21827,1,2,
17,18,1,4,17,13,2,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2672591.906,1771849.205,285429.7129,615312.988,58197.26734,0,3403,21925,1,1,
18,19,1,4,18,7,10,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,4939253.122,3687783.796,751873.455,499595.8714,138609.7087,1,1776,22039,1,1,
19,20,1,2,6,17,5,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2954096.722,2031042.149,286635.1009,636419.4723,59430.27468,1,5135,22526,1,1,
20,21,1,3,12,22,6,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2999714.365,2034517.335,293353.0395,671843.9904,61600.6694,0,3325,23782,1,2,
21,22,1,3,11,6,1,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3181037.822,2170953.113,334490.4688,675594.2401,102585.0014,0,3685,24654,1,2,
22,23,1,4,16,6,4,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2898987.302,1911801.196,322296.1672,664889.9397,90436.07295,0,1499,25862,1,2,
23,24,1,4,15,19,11,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3326745.616,2347028.047,313089.1885,666628.3804,81263.35701,0,5407,26213,1,2,
24,25,1,4,18,1,10,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6466203.004,5170068.535,784157.0546,511977.4145,137496.4587,0,1931,27184,1,2,
25,26,1,1,1,24,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2921370.507,1993211.529,290127.9185,638031.0588,58387.55476,0,4277,27310,1,2,
26,27,1,1,1,19,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6437288.873,5138796.822,787087.9857,511404.0651,140399.4887,0,5210,27948,1,2,
27,28,1,1,1,25,5,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3302220.592,2321827.47,306345.4421,674047.6795,75203.34684,0,2490,28200,1,2,
28,29,1,3,13,10,6,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2823148.972,1876708.833,306989.1686,639450.9709,77926.99643,0,372,28794,1,2,
29,30,1,1,2,5,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2701981.926,1774135.866,287137.0807,640708.9791,57856.97814,0,3429,148270,1,2,
30,31,1,1,3,20,10,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2995977.285,2003730.668,331064.8419,661181.7758,102269.8034,0,3715,149742,1,2,
31,32,1,4,17,10,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3145606.917,2196449.371,293736.9295,655420.6163,64529.04378,0,4668,149889,1,3,
32,33,1,2,10,26,8,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2754527.305,1784464.234,319119.3688,650943.7019,90191.39889,0,1293,149894,1,2,
33,34,1,3,14,3,12,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2889434.228,1991576.014,283189.9352,614668.2796,53866.75357,0,2843,150029,1,2,
34,35,1,2,5,11,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5314640.158,4038546.678,768588.8823,507504.5985,141105.5089,0,2711,150040,1,2,
35,36,1,1,3,5,11,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3111926.412,2149225.564,310093.8737,652606.9741,81065.97508,0,3490,150062,1,2,
36,37,1,4,18,28,1,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3083890.197,2162853.601,286850.939,634185.6579,57567.71064,0,964,150130,1,2,
37,38,1,1,4,6,7,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5312152.657,4038597.241,767869.4996,505685.9158,140360.3514,0,3433,150301,1,2,
38,39,1,2,8,19,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5319932.242,4051555.908,764556.0793,503820.2542,136928.3105,0,3683,150333,1,2,
39,40,1,3,12,11,6,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2766772.433,1853991.883,287561.3522,625219.198,58285.88505,0,1135,150484,1,3,
40,41,1,2,5,4,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5304955.539,4036777.7,764715.3395,503462.4997,137093.2679,0,1935,151319,1,2,
41,42,1,2,8,28,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5310451.505,4037878.628,766905.4799,505667.3968,139361.7986,0,550,71342,1,1,
42,43,1,4,15,15,7,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5305829.863,4035651.47,765546.1534,504632.2402,137953.8083,0,2777,151665,1,2,
43,44,1,2,5,5,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3103192.905,2126719.611,312436.5291,664036.7647,78268.93026,0,725,151781,1,1,
44,45,1,2,6,24,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3248857.788,2298013.033,293421.6827,657423.0725,59551.07502,0,2877,153166,1,1,
45,46,1,2,9,26,8,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3122078.471,2142819.75,295604.667,683654.054,61699.95499,0,878,153251,1,1,
46,47,1,2,8,1,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7192148.358,5869142.402,803167.6307,519838.3255,140791.0834,0,3247,154058,1,1,
47,48,1,2,7,3,2,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7147760.939,5823421.407,804902.6687,519436.8627,142453.7515,0,2687,154059,1,3,
48,49,1,2,8,2,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3008903.466,2007432.664,325014.0183,676456.7839,90650.06556,0,500,154576,1,2,
49,50,1,1,3,7,8,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3203194.877,2278065.028,287812.6639,637317.185,54029.69513,0,693,155407,1,2,
50,51,1,1,1,10,9,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3459833.411,2509884.649,291595.9723,658352.7896,57753.88883,0,1490,156172,1,2,
51,52,1,1,1,2,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7188521.585,5869440.089,800245.7739,518835.7217,137991.109,0,1434,156539,1,3,
52,53,1,1,4,19,7,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7173894.526,5850049.758,802560.8847,521283.8834,140209.6472,0,3891,157230,1,2,
53,54,1,2,6,6,10,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3302220.592,2321827.47,306345.4421,674047.6795,75203.34684,0,1496,157538,1,2,
54,55,1,1,2,21,10,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3167844.037,2245177.519,286910.5359,635755.9824,56419.13002,0,5066,157855,1,3,
55,56,1,1,2,6,8,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2757463.658,1822104.913,288393.5905,646965.1549,57907.99324,0,5389,73298,1,2,
56,57,1,2,5,6,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2997218.725,2067895.305,289886.5543,639436.8657,59406.81733,0,6025,73355,1,2,
57,58,1,3,12,29,7,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2899629.983,1943427.453,292016.4385,664186.0916,61545.08475,0,6381,73455,1,1,
58,59,1,2,10,5,3,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5566570.646,4280502.228,777804.6504,508263.7679,141625.4726,0,6210,73993,1,1,
59,60,1,4,16,24,5,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3226992.728,2269973.471,295051.8649,661967.3925,64592.50345,0,6254,74075,1,2,
60,61,1,1,1,31,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2811066.145,1832993.423,320671.3757,657401.3467,90315.36916,0,3963,74097,1,2,
61,62,1,1,4,12,4,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5591725.43,4307713.855,775300.4429,508711.1322,139080.0413,0,6822,74218,1,2,
62,63,1,4,17,9,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5576131.755,4287110.268,777591.6391,511429.848,141408.9506,0,2851,74329,1,1,
63,64,1,2,10,2,4,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3162565.761,2234145.726,288104.9457,640315.0888,57618.21691,0,2564,74714,1,2,
64,65,1,1,3,5,6,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2826374.513,1906376.403,288821.5778,631176.532,58337.65934,0,1977,75082,1,2,
65,66,1,4,18,14,6,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5571793.119,4286359.998,775868.8429,509564.2784,139657.7871,0,7071,76481,1,2,
66,67,1,2,8,31,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3563739.954,2605889.871,292891.8092,664958.274,57804.72231,0,2366,80056,1,2,
67,68,1,2,5,28,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7716511.964,6383160.835,811814.8733,521536.2558,139981.1071,0,6098,81860,1,2,
68,69,1,2,5,8,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5980082.614,4697915.055,774106.1369,508061.4222,138181.2517,0,2929,50384,1,1,
69,70,1,1,1,15,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,296890.5957,200731.5521,29277.27768,66881.76592,6157.499306,0,3685,51211,1,2,
70,71,1,4,16,29,9,2018,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6556170.811,5250120.438,792031.775,514018.5977,142040.2652,0,4057,51922,1,2,
71,72,1,2,5,15,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6581255.703,5279945.449,789232.1011,512078.1521,139286.1442,1,4500,53876,1,1,
72,73,1,2,6,16,2,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,324750.7974,229884.8127,29080.12639,65785.85831,5960.467867,0,1663,54301,1,1,
73,74,1,1,3,4,12,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6559048.172,5258299.656,787690.5268,513057.9892,137769.6552,0,1425,54645,1,2,
74,75,1,4,18,12,11,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,326271.4147,233548.4164,28757.88642,63965.11186,5644.188548,1,740,55553,1,1,
75,76,1,4,17,16,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6363639.997,5061055.748,787264.0743,515320.1748,141676.6081,1,5269,57096,1,3,
76,77,1,1,2,28,1,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,325628.5113,232323.1232,28877.92726,64427.46084,5764.196649,1,2032,57957,1,3,
77,78,1,4,15,2,4,2018,2739,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6379583.479,5085041.124,783024.0002,511518.3552,137465.7557,0,3859,58637,1,2,
78,79,1,4,17,26,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,288878.871,196428.1553,28949.95184,63500.76387,5836.201592,0,888,58732,1,2,
79,80,1,2,5,23,9,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6369527.741,5070388.907,785240.8391,513897.9948,139667.313,1,2670,58735,1,3,
80,81,1,2,5,5,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6351916.079,5055024.155,785945.84,510946.0838,140367.456,0,6091,59875,1,3,
81,82,1,4,17,6,11,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,324330.0746,229501.6039,29073.99432,65754.47636,5960.210249,1,7300,90609,1,2,
82,83,1,2,5,8,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3101634.646,2184795.736,285924.489,630914.4209,56381.00085,0,10473,91317,1,3,
83,84,1,2,10,22,10,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2711683.993,1782335.307,287397.3234,641951.3625,57867.8251,1,6701,91686,1,3,
84,85,1,2,8,2,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5354459.618,4079939.761,768971.1917,505548.6662,139747.361,1,10462,92109,1,3,
85,86,1,3,12,28,4,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3158978.043,2208250.601,294009.0643,656718.3782,64542.52661,0,7495,92662,1,2,
86,87,1,3,14,2,7,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5345598.124,4066952.574,770348.8189,508296.7307,141169.4214,1,6504,93382,1,2,
87,88,1,3,14,3,3,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3096870.379,2174355.868,287110.672,635403.839,57578.44979,0,8443,94049,1,2,
88,89,1,3,12,4,2,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5343102.408,4067003.556,769626.2999,506472.5518,140423.596,0,6322,94376,1,2,
89,90,1,2,10,17,8,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5350962.084,4080062.347,766298.4659,504601.2709,136988.5236,1,11305,94718,1,2,
90,91,1,3,11,4,3,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5336779.729,4063645.103,769089.6916,504044.9343,139869.6814,0,6681,96052,1,1,
91,92,1,1,1,11,4,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3141906.837,2173158.961,304461.3244,664286.5513,75094.84781,0,8857,96076,1,2,
92,93,1,3,14,14,1,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3087596.688,2150265.78,289047.9702,648282.9375,59534.16557,1,6547,96206,1,1,
93,94,1,4,17,17,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2963119.822,2004227.986,292160.5266,666731.31,58055.95555,1,8215,96838,1,3,
94,95,1,4,18,1,1,2018,2739,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7185813.534,5858723.891,806824.1458,520265.4969,142518.8812,1,9769,97471,1,2,
95,96,1,4,18,9,9,2018,2739,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7242574.877,5917715.555,804124.6949,520734.6269,139941.3764,0,8533,98108,1,2,
96,97,1,2,8,20,9,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3501255.28,2505646.162,315967.4358,679641.6825,81457.57417,0,10097,98692,1,3,
97,98,1,2,7,30,10,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7200561.54,5873111.663,805800.8162,521649.0605,141541.7773,1,11274,99175,1,2,
98,99,1,1,3,21,9,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7211903.521,5885313.53,804471.7551,522118.236,140272.7573,0,10222,99759,1,1,
99,100,1,1,2,3,4,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,7217296.142,5895097.571,803920.4839,518278.0872,139746.3907,0,10963,99876,1,2,
100,101,1,1,1,20,2,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5379490.465,4103758.765,769817.32,505914.3806,139775.306,0,830.0409943,61742.54,1,3,
101,102,1,2,8,17,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5361563.32,4084621.347,771407.485,505534.4881,141413.8132,1,1312.040162,62360.54,1,3,
102,103,1,2,8,10,9,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3014342.353,2019646.589,331566.1969,663129.5678,102318.5013,0,1716.039953,62939.54,1,2,
