Unknown,Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type,
96,97,1,2,6,6,10,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3302220.592,2321827.47,306345.4421,674047.6795,75203.34684,1,1496,157538,1,2,
174,175,1,2,6,16,2,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,324750.7974,229884.8127,29080.12639,65785.85831,5960.467867,1,1663,54301,1,1,
263,264,1,2,6,30,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5384239.661,4109318.164,768944.4548,505977.0418,138875.9235,1,2309.540078,64154.54,1,2,
378,379,1,2,6,29,4,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3393938.158,2454228.325,289717.5588,649992.2738,56525.4174,1,1836.574684,70991.57499,1,2,
442,443,1,2,6,18,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5820695.525,4534210.739,777247.5874,509237.1978,137319.028,1,3579.114623,53950.11499,1,2,
450,451,1,2,6,22,11,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4285796.061,3030855.37,755288.823,499651.8675,141070.2485,1,3348.1148,65044.11499,1,2,
535,536,1,2,6,16,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3029480.529,2085521.418,290595.0571,653364.054,59614.31893,1,4175.11445,77915.11499,1,2,
684,685,1,2,6,18,6,2020,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2218350.444,1990261.059,161080.3759,67009.00984,68082.65814,1,4156.074868,76775.57499,1,2,
688,689,1,2,6,24,6,2020,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2329245.888,2112927.01,160041.23,56277.64806,55425.66789,1,3476.575486,81095.57499,1,2,
11,12,1,2,5,16,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2783592.384,1897381.683,281122.1498,605088.5508,53791.0467,1,2616,20902,1,1,
61,62,1,2,5,11,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5314640.158,4038546.678,768588.8823,507504.5985,141105.5089,1,2711,150040,1,2,
72,73,1,2,5,4,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5304955.539,4036777.7,764715.3395,503462.4997,137093.2679,1,1935,151319,1,2,
75,76,1,2,5,5,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3103192.905,2126719.611,312436.5291,664036.7647,78268.93026,1,725,151781,1,1,
101,102,1,2,5,6,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2997218.725,2067895.305,289886.5543,639436.8657,59406.81733,1,6025,73355,1,2,
143,144,1,2,5,28,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7716511.964,6383160.835,811814.8733,521536.2558,139981.1071,1,6098,81860,1,2,
151,152,1,2,5,8,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5980082.614,4697915.055,774106.1369,508061.4222,138181.2517,1,2929,50384,1,1,
171,172,1,2,5,15,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6581255.703,5279945.449,789232.1011,512078.1521,139286.1442,1,4500,53876,1,1,
196,197,1,2,5,23,9,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6369527.741,5070388.907,785240.8391,513897.9948,139667.313,1,2670,58735,1,3,
198,199,1,2,5,5,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6351916.079,5055024.155,785945.84,510946.0838,140367.456,1,6091,59875,1,3,
205,206,1,2,5,8,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3101634.646,2184795.736,285924.489,630914.4209,56381.00085,1,10473,91317,1,3,
266,267,1,2,5,26,4,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3132327.271,2167286.934,310534.4472,654505.89,81096.62268,1,2214.540078,66179.54,1,2,
306,307,1,2,5,28,7,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2921738.343,1962598.054,292502.3877,666637.9015,61567.00117,1,2422.115004,62114.11498,1,3,
310,311,1,2,5,24,9,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3255447.241,2295496.155,295547.8691,664403.2168,64616.63917,1,2325.615027,63374.11498,1,2,
358,359,1,2,5,4,9,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2950484.647,1962718.216,330207.6391,657558.7916,102191.3657,1,1593.574986,62048.57499,1,2,
373,374,1,2,5,14,8,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3023033.962,2091340.514,288137.5088,643555.939,59496.32912,1,2081.074865,68591.57499,1,2,
491,492,1,2,5,30,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3233787.862,2199324.251,331440.6939,703022.9167,91165.2656,1,2511.574454,82264.57499,1,2,
543,544,1,2,5,8,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4655727.567,3412821.396,747587.5109,495318.6604,140616.1285,1,4177.614811,84764.11499,1,2,
672,673,1,2,5,6,6,2020,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,1935470.651,1043146.52,299657.3942,592666.7365,77604.31935,1,3662.075453,70295.57499,1,3,
689,690,1,2,5,21,6,2020,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2714960.95,2482834.331,159356.6307,72769.98833,51273.10167,1,3620.574721,81239.57499,1,3,
692,693,1,2,5,11,7,2020,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2329245.888,2112927.01,160041.23,56277.64806,55425.66789,1,5418.574816,86657.57499,1,2,
81,82,1,2,7,3,2,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7147760.939,5823421.407,804902.6687,519436.8627,142453.7515,1,2687,154059,1,3,
245,246,1,2,7,30,10,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7200561.54,5873111.663,805800.8162,521649.0605,141541.7773,1,11274,99175,1,2,
271,272,1,2,7,5,1,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5372332.389,4095789.094,769261.1653,507282.1301,139202.2517,1,1547.040245,68180.54,1,3,
451,452,1,2,7,11,9,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2821910.578,1840634.261,329338.1813,651938.1361,102145.3902,1,3228.574699,59383.57499,1,2,
452,453,1,2,7,19,11,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2927490.097,1988681.693,292431.4288,646376.9756,64482.19998,1,3205.074809,59887.57499,1,2,
533,534,1,2,7,1,12,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4655377.886,3372641.451,774964.3148,507772.1205,140284.0796,1,3987.61485,76478.11499,1,2,
559,560,1,2,7,20,12,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2887604.305,1969734.593,285829.142,632040.5704,59397.90857,1,2645.076205,63557.57499,1,1,
693,694,1,2,7,30,6,2020,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,168615.5645,38121.62557,72159.78301,58334.1559,137386.9904,1,4058.574715,87413.57499,1,2,
58,59,1,2,10,26,8,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2754527.305,1784464.234,319119.3688,650943.7019,90191.39889,1,1293,149894,1,2,
104,105,1,2,10,5,3,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5566570.646,4280502.228,777804.6504,508263.7679,141625.4726,1,6210,73993,1,1,
112,113,1,2,10,2,4,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3162565.761,2234145.726,288104.9457,640315.0888,57618.21691,1,2564,74714,1,2,
206,207,1,2,10,22,10,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2711683.993,1782335.307,287397.3234,641951.3625,57867.8251,1,6701,91686,1,3,
220,221,1,2,10,17,8,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5350962.084,4080062.347,766298.4659,504601.2709,136988.5236,1,11305,94718,1,2,
281,282,1,2,10,18,9,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2969625.967,2009975.901,292282.667,667367.3988,58060.77847,1,1413.039745,72554.54,1,3,
284,285,1,2,10,26,5,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7281324.291,5954259.467,806008.7071,521056.1171,140883.1034,1,1661.539912,75401.54,1,3,
515,516,1,2,10,16,11,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4697148.5,3395174.13,787168.7544,514805.6162,139633.2824,1,4332.11485,67007.11499,1,1,
79,80,1,2,9,26,8,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3122078.471,2142819.75,295604.667,683654.054,61699.95499,1,878,153251,1,1,
287,288,1,2,9,7,9,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3563313.709,2580823.341,299125.6787,683364.6884,64782.73921,1,1361.539912,78980.54,1,1,
300,301,1,2,9,6,10,2018,2739,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3302220.592,2321827.47,306345.4421,674047.6795,75203.34684,1,1265,57420,1,1,
39,40,1,4,15,19,11,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3326745.616,2347028.047,313089.1885,666628.3804,81263.35701,1,5407,26213,1,2,
74,75,1,4,15,15,7,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5305829.863,4035651.47,765546.1534,504632.2402,137953.8083,1,2777,151665,1,2,
194,195,1,4,15,2,4,2018,2739,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6379583.479,5085041.124,783024.0002,511518.3552,137465.7557,1,3859,58637,1,2,
453,454,1,4,15,14,9,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2623908.251,1664319.348,317535.3341,642053.569,90096.31583,1,3601.575111,61321.57499,1,2,
471,472,1,4,15,1,4,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5890302.08,4567749.991,801674.4967,520877.5927,141587.7674,1,3222.575118,69418.57499,1,2,
35,36,1,4,16,6,4,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2898987.302,1911801.196,322296.1672,664889.9397,90436.07295,1,1499,25862,1,2,
106,107,1,4,16,24,5,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3226992.728,2269973.471,295051.8649,661967.3925,64592.50345,1,6254,74075,1,2,
158,159,1,4,16,29,9,2018,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6556170.811,5250120.438,792031.775,514018.5977,142040.2652,1,4057,51922,1,2,
375,376,1,4,16,23,11,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5088237.53,3822690.001,761942.9394,503604.5902,139215.1363,1,2086.075107,69833.57499,1,2,
421,422,1,4,16,11,7,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2936860.547,1988740.902,300889.5576,647230.0874,74878.02189,1,3921.11491,70117.11499,1,3,
433,434,1,4,16,12,12,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3102968.334,2098982.45,333377.6483,670608.2353,102487.2771,1,3437.614883,75928.11499,1,2,
624,625,1,4,16,19,9,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7909041.266,6528488.018,841608.9316,538944.3165,143494.7919,1,4216.614841,71381.11498,1,2,
640,641,1,4,16,20,11,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2923425.654,1957730.175,293736.3605,671959.119,58132.26663,1,4715.615048,82151.11498,1,3,
4,5,1,4,17,30,6,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2739106.474,1803901.962,288549.8051,646654.707,61388.86242,1,4385,20129,1,3,
10,11,1,4,17,5,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4948805.375,3698905.006,751570.7175,498329.6519,138286.1429,1,4035,20747,1,1,
17,18,1,4,17,13,2,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2672591.906,1771849.205,285429.7129,615312.988,58197.26734,1,3403,21925,1,1,
57,58,1,4,17,10,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3145606.917,2196449.371,293736.9295,655420.6163,64529.04378,1,4668,149889,1,3,
110,111,1,4,17,9,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5576131.755,4287110.268,777591.6391,511429.848,141408.9506,1,2851,74329,1,1,
190,191,1,4,17,16,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6363639.997,5061055.748,787264.0743,515320.1748,141676.6081,1,5269,57096,1,3,
195,196,1,4,17,26,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,288878.871,196428.1553,28949.95184,63500.76387,5836.201592,1,888,58732,1,2,
200,201,1,4,17,6,11,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,324330.0746,229501.6039,29073.99432,65754.47636,5960.210249,1,7300,90609,1,2,
232,233,1,4,17,17,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2963119.822,2004227.986,292160.5266,666731.31,58055.95555,1,8215,96838,1,3,
338,339,1,4,17,29,4,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7891596.224,6550380.483,815651.0376,525564.7034,140289.8567,1,2375.114837,79994.11498,1,1,
362,363,1,4,17,29,4,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2845259.73,1951129.576,282568.1301,611562.0241,53845.18968,1,2321.574926,63719.57499,1,1,
374,375,1,4,17,16,12,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,5082934.263,3821732.908,759782.9211,501418.4333,136951.4012,1,1718.075228,68882.57499,1,2,
397,398,1,4,17,3,9,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,6605161.26,5291266.613,797819.1222,516075.525,140765.2538,1,3618.574926,84857.57499,1,2,
477,478,1,4,17,28,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3376948.497,2378611.047,309813.9324,688523.5176,75430.7,1,3408.575118,71632.57499,1,1,
630,631,1,4,17,14,4,2019,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7917775.751,6541069.335,839312.7869,537393.6291,141434.452,1,5143.615218,73667.11498,1,1,
656,657,1,4,17,2,6,2020,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,300956.4291,102218.5155,67291,131446.9136,107881.5986,1,3523.574713,63215.57499,1,2,
18,19,1,4,18,7,10,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,4939253.122,3687783.796,751873.455,499595.8714,138609.7087,1,1776,22039,1,1,
