Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+, total Sales , payment type-cash , payment type-visa/master , payment type-others ,#of transaction,sqf,mthly rent,Location Type
260,1,2,8,17,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"60,773,807","49,015,456","7,714,075","4,044,276",141413.8132,1312.040162,62360.54,3
272,1,2,7,5,1,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"60,900,338","49,149,469","7,692,612","4,058,257",139202.2517,1547.040245,68180.54,3
259,1,1,1,20,2,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"60,990,593","49,245,105","7,698,173","4,047,315",139775.306,830.0409943,61742.54,3
480,1,1,2,19,3,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"66,918,767","54,787,986","7,982,578","4,148,203",138264.6954,3241.575224,72106.57499,3
482,1,4,18,8,5,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"66,922,181","54,772,502","7,991,577","4,158,102",139139.8586,3626.075175,73309.57499,3
476,1,1,1,10,4,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"67,075,697","54,937,193","7,998,279","4,140,226",139791.7176,3036.075224,70783.57499,3
199,1,2,5,5,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"72,607,317","60,660,290","7,859,458","4,087,569",140367.456,6091,59875,3
191,1,4,17,16,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"72,727,871","60,732,669","7,872,641","4,122,561",141676.6081,5269,57096,3
197,1,2,5,23,9,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"72,808,259","60,844,667","7,852,408","4,111,184",139667.313,2670,58735,3
82,1,2,7,3,2,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"82,085,578","69,881,057","8,049,027","4,155,495",142453.7515,2687,154059,3
92,1,1,1,2,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"82,586,425","70,433,281","8,002,458","4,150,686",137991.109,1434,156539,3
285,1,2,10,26,5,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"83,679,650","71,451,114","8,060,087","4,168,449",140883.1034,1661.539912,75401.54,3
175,1,2,6,16,2,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"36,786,046","27,678,157","4,581,603","4,526,287",5960.467867,1663,54301,1
180,1,4,18,12,11,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"38,423,653","29,336,775","4,575,158","4,511,721",5644.188548,740,55553,1
555,1,1,3,27,5,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"38,223,622","27,641,064","5,692,616","4,889,942",58166.24218,3668.575239,62867.57499,1
10,1,1,2,7,3,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"38,781,705","27,329,982","6,329,968","5,121,754",89979.56124,1227,20554,1
18,1,4,17,13,2,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"38,980,685","28,349,587","5,708,594","4,922,504",58197.26734,3403,21925,1
12,1,2,5,16,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"40,821,258","30,358,107","5,622,443","4,840,708",53791.0467,2616,20902,1
363,1,4,17,29,4,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"41,761,932","31,218,073","5,651,363","4,892,496",53845.18968,2321.574926,63719.57499,1
560,1,2,7,20,12,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"42,288,661","31,515,753","5,716,583","5,056,325",59397.90857,2645.076205,63557.57499,1
103,1,3,12,29,7,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,248,657","31,094,839","5,840,329","5,313,489",61545.08475,6381,73455,1
23,1,2,6,17,5,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"43,320,732","32,496,674","5,732,702","5,091,356",59430.27468,5135,22526,1
314,1,1,2,7,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"43,849,644","33,171,602","5,697,467","4,980,576",53927.7996,2422.614629,65159.11498,1
9,1,2,6,23,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"44,313,574","33,326,900","5,830,269","5,156,405",64420.46048,263,20348,1
366,1,3,12,21,4,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"44,594,991","33,823,797","5,724,251","5,046,943",57543.06467,2133.575349,64808.57499,1
227,1,3,14,14,1,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"45,371,475","34,404,252","5,780,959","5,186,264",59534.16557,6547,96206,1
76,1,2,5,5,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"45,588,538","34,027,514","6,248,731","5,312,294",78268.93026,725,151781,1
80,1,2,9,26,8,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"45,666,442","34,285,116","5,912,093","5,469,232",61699.95499,878,153251,1
449,1,1,2,1,1,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"47,795,414","36,720,257","5,814,799","5,260,358",59602.10249,3907.115068,87262.11499,1
79,1,2,6,24,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"47,896,027","36,768,209","5,868,434","5,259,385",59551.07502,2877,153166,1
385,1,3,13,2,6,2018,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"48,011,764","35,812,425","6,730,529","5,468,810",102780.9953,2356.074865,74975.57499,1
301,1,2,9,6,10,2018,2739,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"48,668,530","37,149,240","6,126,909","5,392,381",75203.34684,1265,57420,1
479,1,1,2,28,3,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"48,884,013","37,635,014","5,877,650","5,371,348",59745.68961,2786.574575,71941.57499,1
470,1,3,12,21,5,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"49,564,371","37,825,957","6,319,108","5,419,306",81478.49263,2851.57462,68080.57499,1
478,1,4,17,28,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"49,762,244","38,057,777","6,196,279","5,508,188",75430.7,3408.575118,71632.57499,1
386,1,4,18,5,11,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"51,128,126","39,748,153","5,960,453","5,419,519",64731.92018,1976.574865,75716.57499,1
288,1,2,9,7,9,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"52,742,605","41,293,173","5,982,514","5,466,918",64782.73921,1361.539912,78980.54,1
342,1,1,3,21,12,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"53,746,860","41,888,982","6,354,896","5,502,983",81575.62858,2260.11511,82013.11498,1
484,1,1,3,19,3,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"56,173,387","44,835,684","5,910,500","5,427,203",56750.54834,2739.075594,75229.57499,1
420,1,3,11,23,7,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"73,619,257","54,769,067","14,902,035","3,948,155",137916.7342,3550.114925,68779.11499,1
516,1,2,10,16,11,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"74,184,606","54,322,786","15,743,375","4,118,445",139633.2824,4332.11485,67007.11499,1
16,1,2,6,1,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"77,991,197","58,937,213","15,060,652","3,993,332",139848.632,4709,21689,1
19,1,4,18,7,10,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"78,038,777","59,004,541","15,037,469","3,996,767",138609.7087,1776,22039,1
11,1,4,17,5,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"78,200,532","59,182,480","15,031,414","3,986,637",138286.1429,4035,20747,1
74,1,2,8,28,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"51,989,507","32,606,058","15,338,110","4,045,339",139361.7986,550,71342,1
225,1,3,11,4,3,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"52,432,475","33,018,322","15,381,794","4,032,359",139869.6814,6681,96052,1
105,1,2,10,5,3,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"56,110,239","36,488,036","15,556,093","4,066,110",141625.4726,6210,73993,1
111,1,4,17,9,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"56,237,036","36,593,764","15,551,833","4,091,439",141408.9506,2851,74329,1
323,1,1,4,19,5,2018,2739,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"89,429,721","69,768,508","15,592,651","4,068,561",140217.8047,2560.615473,69194.11498,1
447,1,3,11,28,9,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"59,877,037","40,205,243","15,602,431","4,069,363",140214.3241,3453.11534,86113.11499,1
152,1,2,5,8,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"94,713,255","75,166,641","15,482,123","4,064,491",138181.2517,2929,50384,1
172,1,2,5,15,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"104,360,394","84,479,127","15,784,642","4,096,625",139286.1442,4500,53876,1
81,1,2,8,1,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"82,128,338","61,906,278","16,063,353","4,158,707",140791.0834,3247,154058,1
249,1,1,3,21,9,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"82,431,397","62,165,016","16,089,435","4,176,946",140272.7573,10222,99759,1
339,1,4,17,29,4,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"77,323,626","56,806,088","16,313,021","4,204,518",140289.8567,2375.114837,79994.11498,1
196,1,4,17,26,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"41,424,256","30,662,850","5,678,999","5,082,406",5836.201592,888,58732,2
157,1,1,1,15,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"43,222,305","32,027,705","5,847,546","5,347,054",6157.499306,3685,51211,2
201,1,4,17,6,11,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"30,711,541","19,672,026","5,809,480","5,230,036",5960.210249,7300,90609,2
403,1,3,12,3,11,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"37,229,439","26,536,930","5,684,304","5,008,204",57739.09105,3903.614924,60586.11499,2
3,1,1,1,7,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"37,920,998","27,178,253","5,700,234","5,042,511",57769.65788,3276,19786,2
454,1,4,15,14,9,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"38,116,245","26,629,110","6,350,707","5,136,429",90096.31583,3601.575111,61321.57499,2
52,1,1,2,5,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"39,254,587","28,386,174","5,742,742","5,125,672",57856.97814,3429,148270,2
456,1,1,1,10,8,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"39,792,720","29,297,215","5,639,813","4,855,692",53834.6417,3156.075224,62350.57499,2
1,1,2,8,7,4,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"39,806,063","28,682,052","6,091,244","5,032,768",77768.75302,2530,19140,2
369,1,4,18,6,4,2018,2739,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"39,828,410","29,114,019","5,738,394","4,975,996",58260.61686,2215.075349,66788.57499,2
59,1,2,10,26,8,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"40,141,365","28,551,428","6,382,387","5,207,550",90191.39889,1293,149894,2
101,1,1,2,6,8,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"40,097,272","29,153,679","5,767,872","5,175,721",57907.99324,5389,73298,2
352,1,3,11,27,9,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"40,675,784","29,462,079","6,125,106","5,088,599",77881.66222,2278.574865,58433.57499,2
108,1,1,1,31,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"41,000,533","29,327,895","6,413,428","5,259,211",90315.36916,3963,74097,2
4,1,3,11,20,6,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"41,290,480","30,575,775","5,729,397","4,985,308",59261.24204,2310,20118,2
452,1,2,7,11,9,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"41,252,417","29,450,148","6,586,764","5,215,505",102145.3902,3228.574699,59383.57499,2
50,1,3,13,10,6,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"41,282,732","30,027,341","6,139,783","5,115,608",77926.99643,372,28794,2
116,1,1,3,5,6,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"41,327,866","30,502,022","5,776,432","5,049,412",58337.65934,1977,75082,2
312,1,1,2,24,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"41,306,546","29,602,986","6,425,125","5,278,435",90362.47627,2729.615181,63953.11498,2
320,1,4,18,23,4,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"41,651,084","30,797,977","5,785,941","5,067,165",58357.35507,2600.114921,67829.11498,2
8,1,3,14,6,9,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,300,868","30,534,970","6,564,914","5,200,984",101997.599,5160,20345,2
61,1,3,14,3,12,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,446,361","31,865,216","5,663,799","4,917,346",53866.75357,2843,150029,2
36,1,4,16,6,4,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,353,862","30,588,819","6,445,923","5,319,120",90436.07295,1499,25862,2
458,1,1,3,30,4,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"42,569,889","31,248,355","6,172,253","5,149,280",80990.18472,2786.575836,62881.57499,2
265,1,1,3,14,4,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"42,719,104","32,117,077","5,671,163","4,930,864",53880.31368,1818.539953,64493.54,2
427,1,3,14,19,11,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,716,784","31,351,247","6,179,494","5,186,042",78053.06614,3869.114966,72052.11499,2
44,1,1,1,24,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"42,798,191","31,891,384","5,802,558","5,104,248",58387.55476,4277,27310,2
551,1,3,12,8,5,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,885,832","31,653,204","6,133,680","5,098,948",80834.38886,3898.114767,65594.11499,2
453,1,2,7,19,11,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"42,838,551","31,818,907","5,848,629","5,171,016",64482.19998,3205.074809,59887.57499,2
546,1,3,12,3,9,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"43,218,666","32,284,698","5,813,573","5,120,395",64382.3722,3921.61485,85931.11499,2
